P001_G1	0	M_e513ad04054e	1
P001_G2	0	M_e513ad04054e	1
P001_G3	0	M_e513ad04054e	1
P002_G1	0	M_d234400ca22b	1
P002_G2	0	M_d234400ca22b	1
P002_G3	0	M_d234400ca22b	1
P003_G1	0	M_3ab866882388	1
P003_G2	0	M_3ab866882388	1
P003_G3	0	M_3ab866882388	1
P004_G1	0	M_32e351738d20	1
P004_G2	0	M_32e351738d20	1
P004_G3	0	M_32e351738d20	1
P005_G1	0	M_710e125531c3	1
P005_G2	0	M_710e125531c3	1
P005_G3	0	M_710e125531c3	1
P006_G1	0	M_4d03c10f862a	1
P006_G2	0	M_4d03c10f862a	1
P006_G3	0	M_4d03c10f862a	1
P007_G1	0	M_16fdfdc5ebe4	1
P007_G2	0	M_16fdfdc5ebe4	1
P007_G3	0	M_16fdfdc5ebe4	1
P008_G1	0	M_67f2ddb503c9	1
P008_G2	0	M_67f2ddb503c9	1
P008_G3	0	M_67f2ddb503c9	1
P009_G1	0	M_77d9cf161b98	1
P009_G2	0	M_77d9cf161b98	1
P010_G2	0	M_6006905c6270	1
P010_G3	0	M_6006905c6270	1
P011_G1	0	M_2acb1196a991	1
P011_G2	0	M_2acb1196a991	1
P011_G3	0	M_2acb1196a991	1
P012_G1	0	M_3f5c95a88181	1
P012_G2	0	M_3f5c95a88181	1
P012_G3	0	M_3f5c95a88181	1
P013_G1	0	M_603c8ea52814	1
P013_G2	0	M_603c8ea52814	1
P013_G3	0	M_603c8ea52814	1
P014_G1	0	M_3660318ecc14	1
P014_G2	0	M_3660318ecc14	1
P014_G3	0	M_3660318ecc14	1
P015_G1	0	M_24281f3f73ab	1
P015_G2	0	M_24281f3f73ab	1
P015_G3	0	M_24281f3f73ab	1
P016_G1	0	M_e5e13e51db56	1
P016_G2	0	M_e5e13e51db56	1
P016_G3	0	M_e5e13e51db56	1
P017_G1	0	M_89f662021395	1
P017_G2	0	M_89f662021395	1
P017_G3	0	M_89f662021395	1
P018_G1	0	M_8ee2c71d9612	1
P018_G2	0	M_8ee2c71d9612	1
P018_G3	0	M_8ee2c71d9612	1
P019_G1	0	M_e5e13e51db56	1
P019_G2	0	M_e5e13e51db56	1
P019_G3	0	M_e5e13e51db56	1
P020_G1	0	M_3ab866882388	1
P020_G2	0	M_3ab866882388	1
P020_G3	0	M_3ab866882388	1
P021_G1	0	M_3a5c6a992847	1
P021_G2	0	M_3a5c6a992847	1
P021_G3	0	M_3a5c6a992847	1
P022_G1	0	M_c8e063198718	1
P022_G2	0	M_c8e063198718	1
P022_G3	0	M_c8e063198718	1
P023_G1	0	M_77d9cf161b98	1
P023_G2	0	M_77d9cf161b98	1
P023_G3	0	M_77d9cf161b98	1
P024_G1	0	M_67f2ddb503c9	1
P024_G2	0	M_67f2ddb503c9	1
P024_G3	0	M_67f2ddb503c9	1
P025_G1	0	M_e05c40bbc943	1
P025_G2	0	M_e05c40bbc943	1
P025_G3	0	M_e05c40bbc943	1
P026_G1	0	M_29afa9249ba2	1
P026_G2	0	M_29afa9249ba2	1
P026_G3	0	M_29afa9249ba2	1
P027_G2	0	M_447a6f05e6e4	1
P027_G3	0	M_447a6f05e6e4	1
P028_G1	0	M_603c8ea52814	1
P028_G2	0	M_603c8ea52814	1
P028_G3	0	M_603c8ea52814	1
P029_G1	0	M_3f5c95a88181	1
P029_G2	0	M_3f5c95a88181	1
P029_G3	0	M_3f5c95a88181	1
P030_G1	0	M_447a6f05e6e4	1
P030_G2	0	M_447a6f05e6e4	1
P030_G3	0	M_447a6f05e6e4	1
P031_G1	0	M_c1447a5f1fdd	1
P031_G2	0	M_c1447a5f1fdd	1
P031_G3	0	M_c1447a5f1fdd	1
P032_G1	0	M_3ab866882388	1
P032_G2	0	M_3ab866882388	1
P032_G3	0	M_3ab866882388	1
P033_G2	0	M_32e351738d20	1
P033_G3	0	M_32e351738d20	1
P034_G1	0	M_16fdfdc5ebe4	1
P034_G2	0	M_16fdfdc5ebe4	1
P034_G3	0	M_16fdfdc5ebe4	1
P035_G1	0	M_348cb261fb24	1
P035_G2	0	M_348cb261fb24	1
P035_G3	0	M_348cb261fb24	1
P036_G1	0	M_e513ad04054e	1
P036_G2	0	M_e513ad04054e	1
